,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,insured_zip_class,policy_duration_days
0,48,OH,250/500,1000,1406.91,MALE,MD,craft-repair,sleeping,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,6510,13020,52080,Saab,92x,2004,Y,46,100
1,42,IN,250/500,2000,1197.22,MALE,MD,machine-op-inspct,reading,other-relative,0,0,Vehicle Theft,No Collision,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,Unknown,0,0,Unknown,780,780,3510,Mercedes,E400,2007,Y,46,3130
2,29,OH,100/300,2000,1413.14,FEMALE,PhD,sales,board-games,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,7700,3850,23100,Dodge,RAM,2007,N,43,5282
3,41,IL,250/500,2000,1415.74,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Unknown,1,2,NO,6340,6340,50720,Chevrolet,Tahoe,2014,Y,60,8996
4,44,IL,500/1000,1000,1583.91,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,No Collision,Minor Damage,,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,1300,650,4550,Accura,RSX,2009,N,61,256
5,39,OH,250/500,1000,1351.1,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,6410,6410,51280,Saab,95,2003,Y,47,3004
6,34,IN,250/500,1000,1333.35,MALE,PhD,prof-specialty,board-games,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Unknown,0,0,Unknown,21450,7150,50050,Nissan,Pathfinder,2012,N,44,5336
7,37,IL,100/300,1000,1137.03,MALE,Associate,tech-support,base-jumping,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,Unknown,2,2,YES,9380,9380,32830,Audi,A5,2015,N,60,9155
8,33,IL,100/300,500,1442.99,FEMALE,PhD,other-service,golf,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,2770,2770,22160,Toyota,Camry,2012,N,60,6568
9,42,IL,100/300,500,1315.68,MALE,PhD,priv-house-serv,camping,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,Unknown,4700,4700,32900,Saab,92x,1996,N,60,1260
10,42,OH,100/300,500,1253.12,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,Unknown,7910,15820,63280,Ford,F150,2002,N,46,4608
11,61,OH,100/300,2000,1137.16,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,17680,17680,79560,Audi,A3,2006,N,61,5741
12,23,OH,500/1000,500,1215.36,MALE,MD,protective-serv,reading,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,4710,9420,42390,Saab,95,2000,N,43,6272
