,Unnamed: 0,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,insured_zip_class,policy_duration_days
0,0,0.8333333333333334,OH,250/500,0.3333333333333333,0.6167046113377183,MALE,MD,craft-repair,sleeping,husband,0.5303482587064677,1.0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,0.21739130434782608,0.0,YES,0.5,0.6666666666666666,YES,0.3034965034965035,0.9736024844720497,0.6542961378789784,Saab,92x,0.45000000000000284,1,0.1578947368421053,0.013054830287206266
1,1,0.3333333333333333,IN,250/500,1.0,-0.2425211822310571,MALE,MD,machine-op-inspct,reading,other-relative,0.0,1.0,Vehicle Theft,No Collision,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,0.34782608695652173,0.0,Unknown,0.0,0.0,Unknown,0.03636363636363636,-0.9270186335403726,0.0432758837589634,Mercedes,E400,0.6000000000000085,1,0.1578947368421053,0.34268929503916445
2,2,-0.75,OH,100/300,1.0,0.6422326608104326,FEMALE,PhD,sales,board-games,own-child,0.3492537313432836,1.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,0.30434782608695654,0.6666666666666667,NO,1.0,1.0,NO,0.358974358974359,-0.4503105590062112,0.2897219776072462,Dodge,RAM,0.6000000000000085,0,0.0,0.5768059181897303
3,3,0.25,IL,250/500,1.0,0.6528864214250482,FEMALE,PhD,armed-forces,board-games,unmarried,0.4865671641791045,0.4383438343834384,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,0.21739130434782608,0.0,Unknown,0.5,0.6666666666666666,NO,0.29557109557109557,-0.06366459627329192,0.6371870675556673,Chevrolet,Tahoe,0.9500000000000028,1,0.8947368421052633,0.9808529155787642
4,4,0.5,IL,500/1000,0.3333333333333333,1.3419798531788798,MALE,Associate,sales,board-games,unmarried,0.6567164179104478,0.5859585958595859,Vehicle Theft,No Collision,Minor Damage,,NY,Arlington,3041 3rd Ave,0.8695652173913043,0.0,NO,0.0,0.3333333333333333,NO,0.06060606060606061,-0.9472049689440993,0.05635929047678954,Accura,RSX,0.7000000000000028,0,0.9473684210526314,0.03002610966057441
5,5,0.08333333333333333,OH,250/500,0.3333333333333333,0.3880175421447501,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0.0,1.0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,0.8260869565217391,0.6666666666666667,NO,0.0,0.6666666666666666,NO,0.2988344988344988,-0.052795031055900624,0.6442319788652661,Saab,95,0.4000000000000057,1,0.21052631578947345,0.3289817232375979
6,6,-0.3333333333333333,IN,250/500,0.3333333333333333,0.3152851379488144,MALE,PhD,prof-specialty,board-games,husband,0.0,0.30693069306930687,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0.0,0.6666666666666667,Unknown,0.0,0.0,Unknown,1.0,0.062111801242236024,0.6287583343816833,Nissan,Pathfinder,0.8500000000000085,0,0.052631578947368585,0.582680591818973
7,7,-0.08333333333333333,IL,100/300,0.3333333333333333,-0.4891557404594162,MALE,Associate,tech-support,base-jumping,unmarried,0.0,1.0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,1.0,0.6666666666666667,Unknown,1.0,0.6666666666666666,YES,0.4372960372960373,0.4083850931677019,0.4121273116115235,Audi,A5,1.0,0,0.8947368421052633,0.9981505657093125
8,8,-0.4166666666666667,IL,100/300,0.0,0.764546027866696,FEMALE,PhD,other-service,golf,own-child,0.0,1.0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,0.9130434782608695,0.0,NO,0.5,0.3333333333333333,YES,0.12913752913752913,-0.6180124223602484,0.27789659076613416,Toyota,Camry,0.8500000000000085,0,0.8947368421052633,0.716710182767624
9,9,0.3333333333333333,IL,100/300,0.0,0.24288054177179058,MALE,PhD,priv-house-serv,camping,wife,0.0,0.6462646264626463,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,0.6086956521739131,0.0,NO,1.0,0.3333333333333333,Unknown,0.2191142191142191,-0.31832298136645965,0.41300792552522336,Saab,92x,0.05000000000001137,0,0.8947368421052633,0.1392515230635335
